review_id,date,rating,title,text,clean_text,relevance,source
c9c22f78-17bc-406b-b34f-77950a1619eb,2025-11-23,1,,Guys your customer service is sooo worst from the past 3 days I'm dealing your customer care no. to related my mutual funds redeemable amount but not even single call is connected or picked by your respected agent. I'm harassed by you guys from the past 3 days i raise a ticket from your grow app but there is no solution,guys your customer service is sooo worst from the past 3 days i'm dealing your customer care no. to related my mutual funds redeemable amount but not even single call is connected or picked by your respected agent. i'm harassed by you guys from the past 3 days i raise a ticket from your grow app but there is no solution,4,google_play
9dd6af92-d68b-41e8-b0e2-20dacfe7774d,2025-11-23,2,,do full screen option chain greks and stop loss or target point in chart,do full screen option chain greks and stop loss or target point in chart,1,google_play
cac4797e-758b-4ca6-afe4-1f8d05fc3a1d,2025-11-23,2,,all over good 👍 but tools 🔧 option figonacchi type other tool add pls,all over good but tools option figonacchi type other tool add pls,1,google_play
6266a569-bf54-42a5-8265-9ab8a93c9f40,2025-11-24,1,,"Too much glitch, option chain not open properly sometime working sometimes not working. Feel very bad with customer service center.","too much glitch, option chain not open properly sometime working sometimes not working. feel very bad with customer service center.",1,google_play
ef08fb43-76a5-46a9-81cc-cec811a6a04f,2025-11-24,1,,"Reasons for low rating 1. Top Mutual Fund invested info in the stock is missing - fixed thank you Edit 2 22nd Mar: 2. Why do all Indexes like Nifty smallcap 100, Nifty PSE, and Nifty microcap 250 are not shown in the app under indices section? Edit 3 24th Nov - Can we have an option to view family accounts, I keep logging out from one account to check the other?","reasons for low rating 1. top mutual fund invested info in the stock is missing - fixed thank you edit 2 22nd mar: 2. why do all indexes like nifty smallcap 100, nifty pse, and nifty microcap 250 are not shown in the app under indices section? edit 3 24th nov - can we have an option to view family accounts, i keep logging out from one account to check the other?",22,google_play
e7327cf5-1a64-49cc-ba76-3c0ff18e5b68,2025-11-24,1,,this application is not working 😭 properly today I used the application the rvnl share has gone or still showing 328... approximately but the amount showing 324 what is the behaviour and the share is showing on profits but after some time showing profit etc,this application is not working properly today i used the application the rvnl share has gone or still showing 328... approximately but the amount showing 324 what is the behaviour and the share is showing on profits but after some time showing profit etc,2,google_play
65e3ec2f-2bc0-4a66-adcd-67e907d1d063,2025-11-24,1,,I have already discontinued using Groww for new stock investments following the introduction of the minimum brokerage fee of ₹5. I am currently only tracking my previously invested holdings...,i have already discontinued using groww for new stock investments following the introduction of the minimum brokerage fee of ₹5. i am currently only tracking my previously invested holdings...,3,google_play
39786b37-cde4-45ae-a595-59b0ef0bfb8d,2025-11-24,1,,"something went wrong, live values cannot be shown, you are doing this frequently","something went wrong, live values cannot be shown, you are doing this frequently",1,google_play
f7b854b2-80b3-404f-ba3a-338389774c70,2025-11-24,5,,I seriously think opening an account with Groww was this easy. A clean and smooth UI and hassle free process - all up and running in half an hour. Even the app is so smooth and easy to navigate. Adding funds was also super smooth. Totally recommend it.,i seriously think opening an account with groww was this easy. a clean and smooth ui and hassle free process - all up and running in half an hour. even the app is so smooth and easy to navigate. adding funds was also super smooth. totally recommend it.,214,google_play
02aad3e4-d372-4eed-9ea9-615e60a7d72a,2025-11-25,5,,"Groww has proven to be an exceptional trading platform, offering consistently smooth performance across all segments. Its clean, intuitive interface is particularly valuable for fast-paced activities like option trading and scalping. The platform's ability to maintain a simple user experience while delivering powerful features makes it a reliable tool for traders. Everything feels snappy and the indicators are super easy to apply. I love having that level of detail right on my screen.","groww has proven to be an exceptional trading platform, offering consistently smooth performance across all segments. its clean, intuitive interface is particularly valuable for fast-paced activities like option trading and scalping. the platform's ability to maintain a simple user experience while delivering powerful features makes it a reliable tool for traders. everything feels snappy and the indicators are super easy to apply. i love having that level of detail right on my screen.",1,google_play
